Order_ID,Delivery_Time,Order_Value,Items_Count,Distance_km,Delivery_Charge,Surge_Pricing,Time_Slot,Warehouse_Location,Rider_Rating,Customer_Rating,Inventory_Issue,Payment_Method,Order_Status,Delivery_Efficiency,Avg_Order_Value,Late_Delivery,Cancelled,Net_Revenue,Order_Size,Distance_Category
302,45.0,1302,13.0,1.0,118.0,0,Morning,South Hub,1.0,3.0,Yes,UPI,Delivered,0.022222222222222223,100.15384615384616,1,0,1184.0,Medium,Near
319,11.0,138,7.0,12.0,4.0,0,Late Night,North Hub,5.0,4.0,Yes,UPI,Delivered,1.0909090909090908,19.714285714285715,0,0,134.0,Low,Far
321,30.0,345,17.0,2.0,77.0,0,Evening,South Hub,2.0,2.0,No,COD,Delivered,0.06666666666666667,20.294117647058822,1,0,268.0,Low,Near
326,6.0,849,12.0,2.0,32.0,0,Morning,South Hub,3.0,5.0,No,UPI,Cancelled,0.3333333333333333,70.75,0,1,817.0,Medium,Near
336,39.0,194,2.0,11.0,134.0,0,Late Night,East Hub,5.0,4.0,Yes,UPI,Cancelled,0.28205128205128205,97.0,1,1,60.0,Low,Far
343,58.0,1112,19.0,3.0,28.0,1,Morning,North Hub,5.0,4.0,Yes,Card,Delivered,0.05172413793103448,58.526315789473685,1,0,1084.0,Medium,Near
347,56.0,440,13.0,2.0,104.0,1,Afternoon,East Hub,2.0,2.0,No,UPI,Cancelled,0.03571428571428571,33.84615384615385,1,1,336.0,Low,Near
348,15.0,1252,18.0,3.0,56.0,0,Morning,North Hub,5.0,2.0,No,COD,Delivered,0.2,69.55555555555556,0,0,1196.0,Medium,Near
354,24.0,1742,8.0,1.0,57.0,0,Morning,North Hub,4.0,2.0,Yes,UPI,Delivered,0.041666666666666664,217.75,1,0,1685.0,High,Near
365,58.0,1046,13.0,12.0,123.0,0,Morning,Central Hub,4.0,4.0,Yes,UPI,Delivered,0.20689655172413793,80.46153846153847,1,0,923.0,Medium,Far
367,20.0,1000,15.0,7.0,73.0,0,Evening,South Hub,1.0,1.0,Yes,UPI,Delivered,0.35,66.66666666666667,0,0,927.0,Medium,Medium
368,45.0,338,14.0,9.0,21.0,0,Morning,South Hub,3.0,1.0,Yes,UPI,Delivered,0.2,24.142857142857142,1,0,317.0,Low,Medium
369,40.0,1327,7.0,3.0,38.0,0,Morning,Central Hub,3.0,3.0,Yes,COD,Delivered,0.075,189.57142857142858,1,0,1289.0,Medium,Near
378,12.0,1191,5.0,14.0,52.0,0,Late Night,East Hub,2.0,2.0,Yes,UPI,Delivered,1.1666666666666667,238.2,0,0,1139.0,Medium,Far
379,11.0,855,1.0,4.0,33.0,0,Morning,South Hub,5.0,4.0,Yes,UPI,Delivered,0.36363636363636365,855.0,0,0,822.0,Medium,Near
381,21.0,1232,12.0,3.0,66.0,1,Morning,West Hub,2.0,1.0,Yes,UPI,Delivered,0.14285714285714285,102.66666666666667,1,0,1166.0,Medium,Near
385,55.0,265,11.0,14.0,72.0,0,Afternoon,North Hub,4.0,5.0,No,Card,Cancelled,0.2545454545454545,24.09090909090909,1,1,193.0,Low,Far
388,26.0,64,14.0,14.0,69.0,0,Morning,South Hub,1.0,3.0,Yes,UPI,Delivered,0.5384615384615384,4.571428571428571,1,0,-5.0,Low,Far
390,34.0,1721,10.0,10.0,58.0,0,Morning,South Hub,1.0,5.0,No,COD,Delivered,0.29411764705882354,172.1,1,0,1663.0,High,Medium
391,42.0,1334,10.0,9.0,1.0,0,Late Night,South Hub,3.0,3.0,No,Card,Delivered,0.21428571428571427,133.4,1,0,1333.0,Medium,Medium
392,42.0,1230,12.0,13.0,64.0,1,Evening,South Hub,5.0,3.0,Yes,Card,Cancelled,0.30952380952380953,102.5,1,1,1166.0,Medium,Far
398,31.0,1484,11.0,6.0,149.0,0,Late Night,East Hub,5.0,1.0,Yes,UPI,Delivered,0.1935483870967742,134.9090909090909,1,0,1335.0,High,Medium
399,38.0,144,12.0,4.0,47.0,0,Morning,South Hub,3.0,1.0,No,UPI,Cancelled,0.10526315789473684,12.0,1,1,97.0,Low,Near
403,32.0,843,5.0,1.0,99.0,0,Afternoon,Central Hub,5.0,1.0,Yes,UPI,Cancelled,0.03125,168.6,1,1,744.0,Medium,Near
404,51.0,1884,15.0,14.0,97.0,0,Late Night,South Hub,2.0,4.0,Yes,UPI,Delivered,0.27450980392156865,125.6,1,0,1787.0,High,Far
412,21.0,599,15.0,8.0,136.0,0,Late Night,East Hub,5.0,1.0,Yes,UPI,Delivered,0.38095238095238093,39.93333333333333,1,0,463.0,Low,Medium
423,28.0,1689,3.0,14.0,113.0,0,Morning,South Hub,2.0,3.0,Yes,UPI,Delivered,0.5,563.0,1,0,1576.0,High,Far
427,57.0,1042,5.0,5.0,126.0,1,Afternoon,East Hub,4.0,1.0,Yes,UPI,Delivered,0.08771929824561403,208.4,1,0,916.0,Medium,Near
428,35.0,1696,1.0,3.0,110.0,1,Morning,North Hub,4.0,2.0,Yes,COD,Cancelled,0.08571428571428572,1696.0,1,1,1586.0,High,Near
430,37.0,877,19.0,1.0,131.0,0,Evening,South Hub,5.0,2.0,Yes,UPI,Delivered,0.02702702702702703,46.1578947368421,1,0,746.0,Medium,Near
438,29.0,937,2.0,8.0,120.0,0,Morning,South Hub,5.0,5.0,Yes,UPI,Cancelled,0.27586206896551724,468.5,1,1,817.0,Medium,Medium
439,46.0,1878,18.0,13.0,40.0,0,Morning,East Hub,1.0,1.0,No,Card,Cancelled,0.2826086956521739,104.33333333333333,1,1,1838.0,High,Far
456,30.0,1480,8.0,12.0,81.0,0,Morning,South Hub,1.0,2.0,Yes,Card,Cancelled,0.4,185.0,1,1,1399.0,High,Far
458,44.0,863,5.0,2.0,47.0,1,Morning,South Hub,4.0,4.0,No,UPI,Delivered,0.045454545454545456,172.6,1,0,816.0,Medium,Near
466,46.0,874,18.0,12.0,130.0,0,Afternoon,Central Hub,2.0,1.0,Yes,COD,Delivered,0.2608695652173913,48.55555555555556,1,0,744.0,Medium,Far
468,30.0,1904,8.0,8.0,64.0,1,Morning,East Hub,2.0,3.0,No,Card,Cancelled,0.26666666666666666,238.0,1,1,1840.0,High,Medium
470,54.0,420,8.0,1.0,90.0,0,Morning,South Hub,5.0,2.0,No,COD,Delivered,0.018518518518518517,52.5,1,0,330.0,Low,Near
471,29.0,985,17.0,13.0,7.0,0,Afternoon,South Hub,4.0,1.0,Yes,UPI,Delivered,0.4482758620689655,57.94117647058823,1,0,978.0,Medium,Far
475,11.0,1018,4.0,14.0,88.0,1,Late Night,South Hub,1.0,1.0,Yes,UPI,Cancelled,1.2727272727272727,254.5,0,1,930.0,Medium,Far
478,49.0,251,19.0,13.0,27.0,0,Morning,East Hub,1.0,2.0,Yes,UPI,Delivered,0.2653061224489796,13.210526315789474,1,0,224.0,Low,Far
480,5.0,362,14.0,13.0,36.0,1,Late Night,South Hub,4.0,1.0,Yes,UPI,Delivered,2.6,25.857142857142858,0,0,326.0,Low,Far
488,19.0,1675,9.0,7.0,122.0,0,Morning,Central Hub,3.0,2.0,Yes,UPI,Delivered,0.3684210526315789,186.11111111111111,0,0,1553.0,High,Medium
492,36.0,1976,13.0,9.0,78.0,0,Late Night,West Hub,1.0,4.0,No,COD,Delivered,0.25,152.0,1,0,1898.0,High,Medium
493,27.0,1283,9.0,9.0,91.0,0,Afternoon,Central Hub,3.0,4.0,No,UPI,Delivered,0.3333333333333333,142.55555555555554,1,0,1192.0,Medium,Medium
496,29.0,396,9.0,9.0,62.0,0,Morning,South Hub,2.0,5.0,Yes,UPI,Cancelled,0.3103448275862069,44.0,1,1,334.0,Low,Medium
498,26.0,689,4.0,7.0,138.0,1,Evening,West Hub,3.0,5.0,Yes,UPI,Delivered,0.2692307692307692,172.25,1,0,551.0,Low,Medium
503,56.0,1252,6.0,14.0,53.0,1,Morning,South Hub,2.0,4.0,No,UPI,Cancelled,0.25,208.66666666666666,1,1,1199.0,Medium,Far
506,19.0,74,2.0,14.0,128.0,1,Morning,West Hub,2.0,4.0,Yes,UPI,Delivered,0.7368421052631579,37.0,0,0,-54.0,Low,Far
510,37.0,1929,19.0,12.0,128.0,0,Morning,Central Hub,3.0,4.0,Yes,UPI,Delivered,0.32432432432432434,101.52631578947368,1,0,1801.0,High,Far
513,48.0,334,1.0,8.0,84.0,1,Morning,North Hub,1.0,3.0,No,UPI,Delivered,0.16666666666666666,334.0,1,0,250.0,Low,Medium
519,49.0,1955,7.0,7.0,83.0,0,Afternoon,Central Hub,4.0,2.0,Yes,UPI,Cancelled,0.14285714285714285,279.2857142857143,1,1,1872.0,High,Medium
522,34.0,1016,19.0,14.0,68.0,0,Morning,South Hub,4.0,1.0,Yes,COD,Delivered,0.4117647058823529,53.473684210526315,1,0,948.0,Medium,Far
523,51.0,898,1.0,13.0,128.0,0,Afternoon,South Hub,1.0,5.0,Yes,UPI,Delivered,0.2549019607843137,898.0,1,0,770.0,Medium,Far
532,34.0,1774,14.0,4.0,51.0,0,Afternoon,South Hub,1.0,1.0,No,UPI,Delivered,0.11764705882352941,126.71428571428571,1,0,1723.0,High,Near
541,41.0,484,16.0,9.0,109.0,0,Evening,North Hub,4.0,4.0,No,UPI,Cancelled,0.21951219512195122,30.25,1,1,375.0,Low,Medium
546,16.0,81,5.0,2.0,96.0,0,Late Night,North Hub,2.0,5.0,No,UPI,Delivered,0.125,16.2,0,0,-15.0,Low,Near
561,5.0,1059,13.0,2.0,28.0,0,Evening,South Hub,1.0,3.0,No,UPI,Delivered,0.4,81.46153846153847,0,0,1031.0,Medium,Near
563,43.0,551,11.0,9.0,140.0,0,Evening,North Hub,2.0,4.0,No,Card,Delivered,0.20930232558139536,50.09090909090909,1,0,411.0,Low,Medium
565,26.0,1186,15.0,3.0,115.0,0,Morning,South Hub,1.0,2.0,Yes,UPI,Delivered,0.11538461538461539,79.06666666666666,1,0,1071.0,Medium,Near
568,7.0,1751,4.0,13.0,44.0,0,Morning,West Hub,3.0,4.0,Yes,UPI,Delivered,1.8571428571428572,437.75,0,0,1707.0,High,Far
570,30.0,880,19.0,5.0,103.0,0,Late Night,Central Hub,2.0,1.0,Yes,UPI,Delivered,0.16666666666666666,46.31578947368421,1,0,777.0,Medium,Near
582,34.0,211,14.0,3.0,27.0,0,Morning,East Hub,1.0,3.0,Yes,Card,Delivered,0.08823529411764706,15.071428571428571,1,0,184.0,Low,Near
587,20.0,1873,10.0,8.0,117.0,0,Morning,South Hub,4.0,2.0,Yes,UPI,Delivered,0.4,187.3,0,0,1756.0,High,Medium
588,30.0,1251,4.0,11.0,142.0,1,Morning,East Hub,4.0,2.0,Yes,UPI,Delivered,0.36666666666666664,312.75,1,0,1109.0,Medium,Far
592,43.0,882,13.0,7.0,106.0,0,Morning,West Hub,2.0,4.0,Yes,UPI,Delivered,0.16279069767441862,67.84615384615384,1,0,776.0,Medium,Medium
597,27.0,1840,10.0,5.0,97.0,0,Afternoon,West Hub,2.0,4.0,No,UPI,Delivered,0.18518518518518517,184.0,1,0,1743.0,High,Near
603,38.0,628,10.0,3.0,60.0,1,Evening,South Hub,3.0,2.0,Yes,UPI,Cancelled,0.07894736842105263,62.8,1,1,568.0,Low,Near
606,14.0,1677,4.0,11.0,87.0,0,Morning,South Hub,2.0,3.0,Yes,UPI,Delivered,0.7857142857142857,419.25,0,0,1590.0,High,Far
611,5.0,145,10.0,8.0,68.0,0,Afternoon,South Hub,4.0,5.0,No,UPI,Cancelled,1.6,14.5,0,1,77.0,Low,Medium
615,8.0,1193,9.0,6.0,57.0,0,Late Night,East Hub,5.0,4.0,Yes,UPI,Cancelled,0.75,132.55555555555554,0,1,1136.0,Medium,Medium
617,28.0,540,15.0,4.0,102.0,1,Morning,East Hub,2.0,1.0,Yes,UPI,Delivered,0.14285714285714285,36.0,1,0,438.0,Low,Near
630,37.0,824,18.0,6.0,72.0,0,Morning,South Hub,4.0,1.0,Yes,UPI,Delivered,0.16216216216216217,45.77777777777778,1,0,752.0,Medium,Medium
632,55.0,200,4.0,10.0,55.0,1,Morning,West Hub,3.0,3.0,Yes,UPI,Cancelled,0.18181818181818182,50.0,1,1,145.0,Low,Medium
634,41.0,196,1.0,5.0,92.0,0,Morning,South Hub,3.0,1.0,Yes,UPI,Delivered,0.12195121951219512,196.0,1,0,104.0,Low,Near
638,37.0,1621,17.0,6.0,117.0,1,Evening,South Hub,2.0,4.0,Yes,UPI,Cancelled,0.16216216216216217,95.3529411764706,1,1,1504.0,High,Medium
656,33.0,310,3.0,3.0,56.0,0,Morning,South Hub,5.0,3.0,Yes,UPI,Delivered,0.09090909090909091,103.33333333333333,1,0,254.0,Low,Near
659,30.0,1329,18.0,13.0,65.0,1,Morning,South Hub,1.0,4.0,No,COD,Delivered,0.43333333333333335,73.83333333333333,1,0,1264.0,Medium,Far
663,11.0,1126,9.0,12.0,19.0,0,Evening,South Hub,2.0,2.0,Yes,UPI,Delivered,1.0909090909090908,125.11111111111111,0,0,1107.0,Medium,Far
677,14.0,177,5.0,8.0,106.0,0,Morning,South Hub,4.0,1.0,Yes,UPI,Cancelled,0.5714285714285714,35.4,0,1,71.0,Low,Medium
680,28.0,1955,3.0,8.0,129.0,0,Morning,West Hub,3.0,1.0,Yes,Card,Delivered,0.2857142857142857,651.6666666666666,1,0,1826.0,High,Medium
681,39.0,1188,9.0,5.0,61.0,0,Afternoon,South Hub,5.0,2.0,Yes,COD,Delivered,0.1282051282051282,132.0,1,0,1127.0,Medium,Near
683,39.0,575,1.0,5.0,136.0,0,Morning,Central Hub,3.0,2.0,No,UPI,Delivered,0.1282051282051282,575.0,1,0,439.0,Low,Near
687,53.0,1354,4.0,13.0,47.0,0,Morning,South Hub,2.0,4.0,Yes,Card,Cancelled,0.24528301886792453,338.5,1,1,1307.0,High,Far
691,27.0,1351,5.0,7.0,111.0,0,Late Night,South Hub,3.0,2.0,Yes,UPI,Delivered,0.25925925925925924,270.2,1,0,1240.0,High,Medium
694,16.0,53,8.0,9.0,57.0,0,Morning,South Hub,1.0,1.0,Yes,COD,Delivered,0.5625,6.625,0,0,-4.0,Low,Medium
700,39.0,1800,3.0,12.0,91.0,0,Late Night,North Hub,5.0,1.0,Yes,UPI,Delivered,0.3076923076923077,600.0,1,0,1709.0,High,Far
701,45.0,854,6.0,12.0,8.0,0,Morning,Central Hub,1.0,5.0,Yes,UPI,Delivered,0.26666666666666666,142.33333333333334,1,0,846.0,Medium,Far
721,35.0,391,16.0,8.0,39.0,0,Morning,South Hub,2.0,3.0,Yes,UPI,Delivered,0.22857142857142856,24.4375,1,0,352.0,Low,Medium
737,20.0,1030,6.0,3.0,127.0,1,Afternoon,West Hub,2.0,5.0,Yes,UPI,Delivered,0.15,171.66666666666666,0,0,903.0,Medium,Near
741,57.0,1631,1.0,12.0,128.0,0,Morning,South Hub,5.0,1.0,Yes,Card,Delivered,0.21052631578947367,1631.0,1,0,1503.0,High,Far
744,43.0,1069,12.0,3.0,109.0,0,Evening,South Hub,4.0,1.0,Yes,UPI,Cancelled,0.06976744186046512,89.08333333333333,1,1,960.0,Medium,Near
750,27.0,1365,1.0,8.0,131.0,0,Morning,East Hub,3.0,1.0,No,UPI,Delivered,0.2962962962962963,1365.0,1,0,1234.0,High,Medium
756,16.0,1369,2.0,5.0,83.0,1,Late Night,East Hub,1.0,1.0,Yes,COD,Cancelled,0.3125,684.5,0,1,1286.0,High,Near
757,13.0,60,9.0,1.0,27.0,0,Afternoon,South Hub,3.0,5.0,No,COD,Cancelled,0.07692307692307693,6.666666666666667,0,1,33.0,Low,Near
762,42.0,856,4.0,8.0,69.0,1,Afternoon,South Hub,4.0,2.0,Yes,UPI,Delivered,0.19047619047619047,214.0,1,0,787.0,Medium,Medium
763,11.0,793,18.0,5.0,124.0,1,Evening,South Hub,5.0,3.0,No,UPI,Delivered,0.45454545454545453,44.05555555555556,0,0,669.0,Medium,Near
764,50.0,1300,6.0,9.0,148.0,1,Morning,East Hub,3.0,1.0,Yes,Card,Delivered,0.18,216.66666666666666,1,0,1152.0,Medium,Medium
767,46.0,104,15.0,3.0,4.0,0,Evening,South Hub,5.0,5.0,Yes,Card,Delivered,0.06521739130434782,6.933333333333334,1,0,100.0,Low,Near
768,13.0,672,5.0,2.0,59.0,0,Morning,South Hub,1.0,2.0,Yes,UPI,Delivered,0.15384615384615385,134.4,0,0,613.0,Low,Near
772,6.0,118,15.0,14.0,55.0,0,Morning,South Hub,5.0,4.0,Yes,UPI,Delivered,2.3333333333333335,7.866666666666666,0,0,63.0,Low,Far
774,33.0,1362,10.0,4.0,103.0,0,Morning,West Hub,3.0,2.0,Yes,UPI,Delivered,0.12121212121212122,136.2,1,0,1259.0,High,Near
776,42.0,1621,18.0,11.0,145.0,0,Morning,Central Hub,4.0,1.0,Yes,UPI,Delivered,0.2619047619047619,90.05555555555556,1,0,1476.0,High,Far
778,12.0,1221,3.0,8.0,7.0,0,Evening,East Hub,3.0,4.0,Yes,UPI,Delivered,0.6666666666666666,407.0,0,0,1214.0,Medium,Medium
781,5.0,1317,6.0,13.0,37.0,1,Evening,West Hub,1.0,3.0,No,UPI,Cancelled,2.6,219.5,0,1,1280.0,Medium,Far
788,8.0,250,15.0,8.0,60.0,0,Morning,South Hub,3.0,2.0,Yes,Card,Delivered,1.0,16.666666666666668,0,0,190.0,Low,Medium
790,10.0,1523,3.0,2.0,90.0,0,Afternoon,East Hub,3.0,2.0,Yes,UPI,Delivered,0.2,507.6666666666667,0,0,1433.0,High,Near
794,58.0,345,18.0,2.0,12.0,0,Afternoon,South Hub,3.0,2.0,Yes,UPI,Cancelled,0.034482758620689655,19.166666666666668,1,1,333.0,Low,Near
