Order_ID,Delivery_Time,Order_Value,Items_Count,Distance_km,Delivery_Charge,Surge_Pricing,Time_Slot,Warehouse_Location,Rider_Rating,Customer_Rating,Inventory_Issue,Payment_Method,Order_Status
58,54,721,17,2,114,0,??,,5,8,No,Card,Delivered
59,-10,110,18,9,28,1,Evening,West Hub,10,1,Yes,,Cancelled
60,13,683,8,0,58,2,,Central Hub,7,,No,,Cancelled
61,30,1124,13,13,124,0,Evening,North Hub,4,3,No,Crypto?,Cancelled
62,57,1476,19,9,97,,Evening,South Hub,4,10,Yes,UPI,Unknown
63,6,1862,3,4,16,0,,South Hub,,,Unknown,COD,Delivered
64,24,1078,8,10,106,,Late Night,North Hub,,2,,Crypto?,Cancelled
65,32,1539,2,12,42,1,,??,-1,10,No,,Cancelled
66,51,653,8,50,79,0,Evening,,5,5,,Card,Cancelled
67,11,731,13,14,7,1,??,Unknown,10,10,Unknown,,Delivered
68,48,1902,13,14,140,2,??,South Hub,5,10,Unknown,Unknown,Cancelled
69,12,583,1,2,105,,??,??,2,,No,Card,Cancelled
70,51,1478,6,11,7,,Late Night,South Hub,,2,Yes,Card,Unknown
71,39,887,19,0,95,1,Morning,North Hub,-1,10,Unknown,,Delivered
72,18,1586,16,6,93,2,,,3,,,UPI,Unknown
73,21,694,8,5,64,0,??,,1,,,Card,Delivered
74,40,282,1,4,38,0,,??,1,10,,Unknown,Delivered
75,54,573,16,,80,,??,North Hub,3,1,,Crypto?,Delivered
76,44,395,9,4,83,1,Late Night,??,5,2,Unknown,UPI,Unknown
77,8,1119,13,10,87,1,Morning,,3,-2,No,UPI,Unknown
78,6,595,11,3,85,0,Morning,Unknown,-1,10,No,UPI,Unknown
79,10,1151,13,5,92,2,??,,10,8,,Card,Unknown
80,58,1803,-5,6,85,2,Late Night,Central Hub,3,8,No,UPI,Cancelled
81,46,1886,10,8,43,0,Afternoon,Unknown,-1,5,,,Cancelled
82,8,1996,4,7,136,0,,??,,2,,UPI,Cancelled
83,58,1146,6,10,73,1,,Central Hub,7,,Yes,Unknown,Delivered
84,33,843,7,6,35,2,Evening,North Hub,4,3,Unknown,COD,Cancelled
85,22,298,5,14,100,0,Late Night,East Hub,4,4,Unknown,Unknown,Delivered
86,30,96,11,4,103,0,Evening,South Hub,2,2,,Card,Unknown
87,48,1194,13,13,65,,??,Central Hub,5,2,Unknown,UPI,Delivered
88,38,263,19,50,54,0,Evening,South Hub,10,10,No,UPI,Delivered
89,14,288,10,7,90,0,Morning,West Hub,7,10,,,Cancelled
90,40,1129,10,4,21,2,,North Hub,7,,Yes,Crypto?,Unknown
91,18,399,11,14,100,1,Evening,East Hub,,5,No,UPI,Unknown
92,35,156,-5,3,120,2,Morning,West Hub,3,10,Yes,Unknown,Cancelled
93,52,880,7,5,92,1,Late Night,West Hub,5,4,Yes,Card,Unknown
94,19,97,18,0,107,,Evening,,1,4,Unknown,COD,Unknown
95,12,1646,4,4,140,0,??,West Hub,7,5,Unknown,UPI,Unknown
96,18,386,2,2,9,,??,North Hub,-1,1,,COD,Cancelled
97,27,1099,14,-3,8,1,??,Central Hub,1,1,Unknown,UPI,Unknown
98,120,853,13,50,33,2,,North Hub,2,2,Yes,Card,Delivered
99,44,1330,12,14,128,2,Evening,Central Hub,3,10,Yes,Crypto?,Delivered
100,25,57,7,13,88,,Late Night,West Hub,3,8,No,Unknown,Unknown
101,20,674,2,12,92,1,Evening,West Hub,10,-2,Yes,Card,Cancelled
102,49,1940,13,6,70,,,Unknown,7,5,,COD,Cancelled
103,22,1326,14,4,66,,Morning,East Hub,,2,,UPI,Cancelled
104,51,1765,17,0,147,0,,Central Hub,4,8,Unknown,COD,Unknown
105,57,768,9,13,116,,??,West Hub,-1,10,Unknown,Unknown,Unknown
106,28,352,17,4,93,0,Morning,,1,8,Unknown,Card,Delivered
107,30,688,8,50,98,0,??,Unknown,2,8,,COD,Cancelled
108,29,105,2,1,112,2,Afternoon,South Hub,4,5,Yes,COD,Delivered
109,49,775,13,-3,102,0,,Unknown,3,2,Unknown,Unknown,Delivered
110,45,575,3,50,90,0,,East Hub,1,,No,UPI,Cancelled
111,33,523,16,,89,2,Late Night,North Hub,5,4,Unknown,COD,Unknown
112,19,77,6,11,16,,Evening,East Hub,7,2,,Unknown,Unknown
113,49,127,19,13,17,1,Morning,South Hub,2,-2,Unknown,UPI,Delivered
114,5,1289,7,1,115,1,Morning,Unknown,5,8,Yes,Crypto?,Delivered
115,29,1459,10,50,92,1,Late Night,Central Hub,,,Unknown,UPI,Delivered
116,11,414,9,6,90,,Late Night,North Hub,7,5,,Crypto?,Delivered
117,13,715,2,4,81,0,Evening,North Hub,1,3,,Card,Cancelled
118,28,575,15,0,67,1,??,Central Hub,7,4,No,Unknown,Delivered
119,5,748,5,,113,,Evening,??,4,3,,UPI,Delivered
120,48,1385,4,,0,0,,??,10,10,No,Crypto?,Unknown
121,12,932,,6,57,2,??,East Hub,4,3,Yes,Crypto?,Unknown
122,28,1080,4,,108,1,Afternoon,West Hub,,8,,Card,Unknown
123,15,1076,18,14,147,0,Evening,??,-1,8,Unknown,,Cancelled
124,55,1696,4,11,115,1,Late Night,East Hub,5,8,Yes,Unknown,Cancelled
125,21,968,17,7,86,1,??,??,4,8,Unknown,,Unknown
126,12,799,12,9,9,1,Evening,South Hub,10,2,Unknown,UPI,Unknown
127,39,412,17,0,58,0,Morning,,-1,3,Unknown,Unknown,Delivered
128,39,1824,10,5,40,,Afternoon,West Hub,4,-2,Yes,Card,Delivered
129,37,1581,1,10,104,0,,East Hub,3,3,Yes,UPI,Cancelled
130,9,1347,18,-3,132,1,Morning,,10,2,,Unknown,Cancelled
131,46,1579,18,3,121,0,Morning,,5,-2,Unknown,Unknown,Delivered
132,43,855,14,13,144,2,Afternoon,Unknown,2,-2,No,,Unknown
133,-10,788,15,11,21,,,??,-1,4,,UPI,Delivered
134,45,1956,12,50,97,0,Late Night,Unknown,3,-2,Yes,Card,Cancelled
135,32,1088,4,13,67,2,??,Central Hub,2,3,No,Card,Cancelled
136,11,1265,3,6,138,,,South Hub,1,8,Yes,UPI,Delivered
137,13,1704,,50,55,2,Evening,South Hub,10,8,No,UPI,Delivered
138,12,534,12,13,148,,Morning,South Hub,3,10,,Crypto?,Delivered
139,16,77,7,10,98,0,Evening,West Hub,7,4,No,COD,Cancelled
140,38,763,11,3,75,2,Late Night,North Hub,1,3,,,Unknown
141,37,1112,1,14,25,1,Evening,West Hub,1,3,Yes,UPI,Delivered
142,52,1346,6,5,114,2,,East Hub,-1,5,No,UPI,Cancelled
143,59,1304,15,5,146,,Evening,,10,1,Unknown,COD,Cancelled
144,27,135,15,50,108,0,Late Night,,3,3,Unknown,COD,Cancelled
145,28,1547,19,10,46,,Late Night,Unknown,,,Yes,Unknown,Delivered
146,41,175,11,5,70,2,Late Night,North Hub,3,3,No,Card,Delivered
147,39,861,2,4,39,2,,East Hub,4,5,Unknown,,Unknown
148,48,586,14,6,132,1,Late Night,North Hub,1,-2,,Unknown,Cancelled
149,44,194,2,4,148,0,Morning,,5,2,No,UPI,Delivered
150,26,1598,4,7,131,0,Late Night,??,1,2,No,COD,Cancelled
151,31,1285,17,7,22,2,Evening,West Hub,1,,Unknown,Crypto?,Cancelled
152,39,74,3,-3,105,0,??,South Hub,7,,,Card,Unknown
153,5,1653,13,3,83,1,Evening,,,10,,Unknown,Delivered
154,39,1467,9,1,142,,??,Central Hub,2,2,,Crypto?,Delivered
155,41,116,7,4,115,0,Evening,South Hub,2,-2,No,Card,Cancelled
156,51,282,15,6,108,2,,,7,2,Yes,Crypto?,Cancelled
157,18,158,11,9,135,,Evening,West Hub,1,1,No,COD,Unknown
158,7,1219,,14,40,,,North Hub,2,2,No,Unknown,Unknown
159,5,160,2,12,111,1,,??,10,8,Unknown,Unknown,Unknown
160,9,277,15,4,146,2,Late Night,??,,10,Yes,Card,Unknown
161,30,160,14,12,111,0,Morning,South Hub,2,5,,Crypto?,Unknown
162,59,1543,,10,102,2,??,West Hub,7,,Unknown,COD,Unknown
163,18,83,11,7,45,,Late Night,??,4,1,No,UPI,Cancelled
164,43,672,3,3,67,2,Late Night,??,2,,Yes,Unknown,Unknown
165,31,1849,17,14,121,0,,East Hub,,10,,UPI,Cancelled
166,13,1442,12,10,14,0,,Central Hub,-1,3,,COD,Cancelled
167,19,797,-5,0,128,1,??,South Hub,-1,1,No,Unknown,Delivered
168,19,644,15,0,110,0,Evening,North Hub,10,4,,Unknown,Cancelled
169,30,1627,16,10,23,0,Evening,??,3,1,,Crypto?,Cancelled
170,46,474,5,13,26,2,Late Night,East Hub,3,10,Yes,UPI,Unknown
171,17,662,,6,39,2,Afternoon,West Hub,2,5,Unknown,Crypto?,Cancelled
172,55,1591,6,12,23,,Afternoon,??,5,1,Yes,,Unknown
173,36,741,19,9,23,1,Evening,Unknown,4,10,Unknown,UPI,Unknown
174,43,1355,5,13,3,2,Afternoon,Central Hub,7,-2,Unknown,UPI,Unknown
175,53,1393,3,4,66,0,Evening,North Hub,4,2,Unknown,,Delivered
176,56,1811,1,11,33,,,West Hub,-1,-2,,COD,Unknown
177,36,1516,6,-3,115,2,Late Night,West Hub,2,10,Yes,COD,Cancelled
178,8,364,15,11,22,1,Morning,South Hub,,8,,Unknown,Unknown
179,34,926,2,4,108,1,Late Night,??,7,3,No,Card,Unknown
180,41,1814,3,-3,68,,Evening,South Hub,4,2,Yes,Crypto?,Unknown
181,27,1450,17,1,94,,Evening,North Hub,,8,Unknown,Card,Delivered
182,43,1362,12,7,61,,Late Night,Unknown,7,5,,Unknown,Cancelled
183,49,1510,18,6,56,,??,??,4,,,Card,Delivered
184,19,711,15,,53,,Evening,,10,4,Yes,UPI,Cancelled
185,47,326,12,-3,69,0,Afternoon,??,-1,2,Yes,UPI,Delivered
186,33,1783,16,11,100,0,Afternoon,Unknown,1,-2,Unknown,,Cancelled
187,40,1655,8,,56,2,Evening,,7,3,Unknown,,Delivered
188,17,1576,14,0,137,1,Evening,West Hub,-1,8,No,Unknown,Unknown
189,36,673,17,7,134,0,??,South Hub,5,10,Unknown,Unknown,Delivered
190,11,565,-5,10,102,0,Afternoon,Central Hub,2,2,,Unknown,Delivered
191,55,1423,8,12,84,0,Evening,??,,,No,UPI,Unknown
192,26,892,15,14,60,2,Evening,Central Hub,7,10,No,Card,Unknown
193,32,1519,14,5,2,,??,??,2,8,No,Crypto?,Cancelled
194,6,1903,18,-3,127,2,??,West Hub,2,3,Yes,Unknown,Cancelled
195,46,399,,5,85,1,Late Night,South Hub,1,1,Unknown,Unknown,Cancelled
196,49,1680,7,3,46,1,??,North Hub,4,,No,UPI,Delivered
197,120,1737,3,5,75,1,Morning,North Hub,7,10,Yes,Crypto?,Cancelled
198,57,872,12,50,37,1,Afternoon,North Hub,-1,,Yes,UPI,Delivered
199,10,1210,-5,12,140,0,Late Night,??,3,5,No,Crypto?,Delivered
200,32,808,3,9,86,0,Morning,??,7,10,No,UPI,Cancelled
201,32,948,,1,57,2,Evening,Central Hub,7,2,,Card,Cancelled
202,48,292,14,-3,49,,Evening,South Hub,7,1,No,Unknown,Delivered
203,48,592,15,4,29,1,Late Night,Unknown,2,1,,COD,Unknown
204,24,1113,14,10,100,2,??,??,,4,No,COD,Unknown
205,34,278,7,7,24,0,Evening,South Hub,2,,No,Unknown,Delivered
206,15,597,17,1,111,0,,Central Hub,,-2,Unknown,Unknown,Cancelled
207,-10,969,12,50,125,,Late Night,??,3,1,No,Unknown,Delivered
208,59,1296,,2,122,,Morning,North Hub,2,1,No,Unknown,Delivered
209,32,55,4,11,46,,Late Night,North Hub,,5,,Crypto?,Cancelled
210,29,1395,9,9,117,2,Afternoon,West Hub,2,5,,Card,Unknown
211,43,517,6,7,38,0,??,,5,5,Unknown,COD,Delivered
212,37,1805,16,50,15,0,??,East Hub,2,,No,,Unknown
213,5,124,-5,50,21,,Late Night,Unknown,3,10,No,COD,Unknown
214,120,53,-5,2,53,1,Evening,,3,3,,COD,Cancelled
215,31,1920,2,6,148,,Evening,??,,-2,Yes,UPI,Delivered
216,120,695,8,14,15,2,,South Hub,,1,Yes,Unknown,Delivered
217,56,167,11,6,58,,,??,3,4,Yes,Unknown,Unknown
218,17,930,13,2,30,,??,South Hub,3,-2,,Unknown,Unknown
219,45,1679,17,1,31,2,,South Hub,1,10,,UPI,Cancelled
220,7,553,8,10,8,,Morning,,7,-2,Yes,Card,Unknown
221,43,996,-5,5,138,0,,East Hub,10,1,Yes,Card,Cancelled
222,10,623,18,2,9,1,Morning,West Hub,2,-2,No,,Delivered
223,12,1514,18,0,16,,,,4,3,,Card,Cancelled
224,31,243,14,2,67,2,??,East Hub,7,-2,,Card,Unknown
225,13,896,15,10,47,1,??,North Hub,10,1,Yes,Unknown,Delivered
226,41,764,6,2,110,2,Morning,North Hub,1,1,Yes,Crypto?,Cancelled
227,37,1465,11,0,122,1,Late Night,South Hub,4,-2,Unknown,COD,Delivered
228,55,1099,13,0,148,1,??,Central Hub,,,,Card,Cancelled
229,46,1508,1,7,100,,Late Night,??,3,4,Unknown,Card,Unknown
230,48,222,6,12,101,0,Evening,??,5,8,No,UPI,Unknown
231,28,1373,9,,64,,Morning,South Hub,-1,5,Unknown,,Delivered
232,19,1718,8,8,50,2,??,Central Hub,3,8,Yes,Crypto?,Delivered
233,58,375,11,6,35,2,Afternoon,Unknown,5,10,,UPI,Delivered
234,36,1483,19,10,80,1,Evening,East Hub,10,10,,Unknown,Cancelled
235,36,1191,9,3,126,1,Late Night,Unknown,,1,Unknown,COD,Unknown
236,28,885,17,50,87,0,??,Unknown,4,10,Unknown,,Delivered
237,45,1860,12,7,103,,Morning,North Hub,10,,No,UPI,Delivered
238,56,773,14,4,14,2,,Unknown,3,4,No,Card,Delivered
239,53,274,15,14,95,1,Afternoon,??,3,10,Yes,Card,Cancelled
240,53,581,16,,122,0,Late Night,,4,3,Yes,,Delivered
241,-10,162,,8,0,2,Evening,Central Hub,-1,4,Yes,Card,Delivered
242,56,189,1,,,1,Morning,East Hub,5,,Unknown,UPI,Cancelled
243,16,608,10,14,121,2,Afternoon,North Hub,10,8,Unknown,UPI,Cancelled
244,43,50,8,9,125,0,Morning,Unknown,,4,,Card,Delivered
245,6,139,18,8,56,0,??,,3,4,Yes,Card,Delivered
246,7,703,1,50,80,2,,Central Hub,10,8,Unknown,Unknown,Cancelled
247,53,369,2,2,72,,Evening,South Hub,-1,,,COD,Unknown
248,41,1623,1,3,140,2,Morning,South Hub,10,10,Yes,,Cancelled
249,53,1878,1,8,69,1,Late Night,South Hub,4,1,No,UPI,Unknown
250,,1967,9,12,5,,??,??,,8,No,,Delivered
251,21,188,13,1,83,1,??,East Hub,1,8,Unknown,Unknown,Delivered
252,53,1584,1,10,51,2,Evening,South Hub,4,8,,UPI,Unknown
253,6,1941,13,3,2,,??,??,10,8,No,Unknown,Cancelled
254,6,894,,6,80,1,Late Night,West Hub,1,10,,Unknown,Delivered
255,32,308,7,7,62,2,Morning,??,3,-2,,Crypto?,Unknown
256,58,1746,2,-3,48,2,Evening,North Hub,1,-2,No,Card,Cancelled
257,27,951,6,11,75,,??,??,-1,2,,Crypto?,Unknown
258,41,739,7,5,111,2,??,East Hub,2,8,No,,Cancelled
259,36,59,14,11,108,0,Late Night,,-1,8,Unknown,,Cancelled
260,37,310,18,12,64,1,,Unknown,4,4,Yes,Card,Cancelled
261,5,1992,15,10,80,1,,??,2,-2,Yes,Crypto?,Cancelled
262,23,1723,2,8,14,2,??,South Hub,4,10,Unknown,,Unknown
263,6,221,10,9,99,2,Morning,North Hub,,1,No,Crypto?,Unknown
264,57,947,12,4,31,0,Evening,Central Hub,7,2,No,Card,Unknown
265,48,62,17,5,95,,??,South Hub,3,2,No,UPI,Unknown
266,30,1241,8,8,127,2,Afternoon,North Hub,3,10,No,Unknown,Unknown
267,36,1715,11,9,145,2,Evening,West Hub,10,1,Unknown,Unknown,Cancelled
268,10,1669,3,,112,2,,Unknown,5,4,Yes,Crypto?,Delivered
269,36,370,6,,82,2,??,Central Hub,4,5,,,Delivered
270,59,1392,9,0,42,1,Late Night,West Hub,7,-2,,Crypto?,Unknown
271,8,1686,6,14,115,2,Afternoon,,7,8,Yes,Crypto?,Unknown
272,59,378,9,8,77,1,??,North Hub,-1,10,Unknown,COD,Delivered
273,15,834,7,-3,57,2,Morning,West Hub,-1,-2,,Unknown,Cancelled
274,,826,9,10,32,,Afternoon,Unknown,5,8,Yes,Card,Unknown
275,21,960,18,6,13,0,??,Unknown,10,5,Unknown,Crypto?,Cancelled
276,42,1993,12,12,131,,Morning,,1,5,,COD,Delivered
277,28,1623,8,2,58,2,Afternoon,Unknown,-1,,No,COD,Delivered
278,9,1492,8,7,82,2,Morning,North Hub,10,5,No,Unknown,Unknown
279,56,1679,18,0,133,2,Morning,North Hub,,-2,Unknown,Unknown,Cancelled
280,38,1168,,3,120,,Afternoon,Unknown,3,3,No,Unknown,Unknown
281,10,1890,15,13,82,2,Afternoon,West Hub,3,3,Unknown,Card,Delivered
282,26,1654,7,3,26,,Morning,North Hub,10,8,Yes,COD,Cancelled
283,15,367,11,-3,79,1,,South Hub,5,8,Yes,,Unknown
284,52,285,,11,133,0,Afternoon,Unknown,7,,,Card,Unknown
285,20,383,16,8,12,0,??,North Hub,5,3,Unknown,UPI,Unknown
286,37,1958,4,6,63,,Evening,East Hub,10,8,,Crypto?,Delivered
287,13,425,6,1,146,1,Late Night,,4,5,,Unknown,Unknown
288,10,1532,3,1,79,,Morning,Unknown,2,8,Yes,COD,Cancelled
289,20,1210,9,8,122,1,Morning,North Hub,3,2,,Crypto?,Unknown
290,33,637,10,5,42,2,Late Night,East Hub,10,,No,Card,Delivered
291,7,1620,14,0,88,1,,North Hub,7,10,,UPI,Unknown
292,24,562,11,11,147,1,Late Night,North Hub,2,1,Unknown,Card,Delivered
293,40,1369,18,5,94,1,Afternoon,West Hub,,4,No,Card,Delivered
294,23,1393,12,4,,0,Late Night,South Hub,-1,1,Yes,,Cancelled
295,30,967,12,6,1,1,Morning,Unknown,4,1,Unknown,Crypto?,Cancelled
296,7,1645,13,14,119,2,Late Night,,-1,10,No,,Unknown
297,23,1905,13,9,21,2,Evening,Unknown,2,8,Unknown,Card,Delivered
298,24,1422,19,12,114,2,??,South Hub,2,1,No,UPI,Delivered
299,36,1913,19,11,56,1,Afternoon,Central Hub,-1,2,Unknown,COD,Cancelled
300,11,1852,14,14,71,,Late Night,West Hub,7,4,Unknown,COD,Cancelled
301,56,922,4,0,6,,Morning,West Hub,7,1,No,Crypto?,Unknown
302,45,1302,13,1,118,2,??,South Hub,1,3,Yes,Unknown,Delivered
303,37,319,8,13,113,0,Afternoon,??,,10,Yes,Unknown,Cancelled
304,44,1901,-5,13,15,,Morning,West Hub,7,10,Unknown,COD,Unknown
305,43,847,19,2,82,1,,Unknown,,10,Unknown,Card,Delivered
306,22,1364,12,4,71,,Evening,South Hub,,,Yes,Card,Delivered
307,44,774,18,6,123,2,,West Hub,2,,Yes,,Cancelled
308,5,1238,6,5,112,0,Evening,North Hub,,5,,Crypto?,Unknown
309,15,54,18,3,11,,Late Night,South Hub,4,-2,Yes,,Cancelled
310,32,900,19,1,125,,Afternoon,South Hub,-1,4,Unknown,Unknown,Unknown
311,120,1452,5,4,52,2,Late Night,Unknown,1,8,No,COD,Delivered
312,29,127,9,2,74,0,Evening,East Hub,10,1,Yes,Card,Unknown
313,54,1483,3,5,132,0,Evening,West Hub,5,-2,,COD,Unknown
314,27,623,10,3,26,2,Evening,West Hub,1,8,,UPI,Unknown
315,35,181,19,9,139,1,??,South Hub,4,-2,,COD,Unknown
316,34,650,3,6,144,,Morning,North Hub,1,8,No,UPI,Unknown
317,46,1822,15,-3,133,1,Afternoon,North Hub,,2,Yes,,Cancelled
318,39,1115,1,6,96,,Late Night,,2,,Yes,,Unknown
319,11,138,7,12,4,,Late Night,North Hub,5,4,Yes,Unknown,Unknown
320,20,451,12,11,56,1,,West Hub,7,3,No,COD,Delivered
321,30,345,17,2,77,2,Evening,??,2,2,No,COD,Unknown
322,52,1913,-5,,68,2,Evening,East Hub,,,Unknown,UPI,Delivered
323,120,1368,,12,117,,Evening,South Hub,,10,,,Cancelled
324,56,665,5,12,119,2,Late Night,Central Hub,5,,,UPI,Cancelled
325,53,1599,4,9,58,,,East Hub,5,-2,Yes,,Unknown
326,6,849,12,2,32,2,Morning,Unknown,3,5,No,UPI,Cancelled
327,5,1764,,3,61,,??,Unknown,2,2,No,,Unknown
328,52,1710,18,12,49,2,Afternoon,??,7,10,Yes,UPI,Cancelled
329,16,471,17,0,111,0,Morning,Central Hub,1,-2,Yes,,Unknown
330,9,1938,19,1,18,1,Late Night,East Hub,,4,Unknown,Crypto?,Unknown
331,41,1096,9,3,122,0,??,North Hub,,,,UPI,Delivered
332,36,624,4,2,46,1,??,West Hub,3,10,,COD,Delivered
333,59,192,-5,9,32,1,??,??,2,-2,,Unknown,Delivered
334,13,1042,2,,140,,Evening,Central Hub,2,5,Unknown,Crypto?,Delivered
335,45,714,4,-3,83,1,Afternoon,??,-1,,Yes,Crypto?,Unknown
336,39,194,2,11,134,0,Late Night,East Hub,5,4,Yes,UPI,Cancelled
337,23,1298,15,0,78,0,Late Night,West Hub,7,5,,Unknown,Unknown
338,52,1056,2,50,13,2,??,??,5,8,,COD,Delivered
339,20,552,4,5,146,0,Late Night,Central Hub,7,-2,Unknown,Crypto?,Delivered
340,7,870,6,12,127,2,Afternoon,South Hub,4,,No,COD,Cancelled
341,24,1689,7,11,53,1,Afternoon,East Hub,10,,No,,Delivered
342,28,153,10,,147,0,,South Hub,7,10,,Unknown,Unknown
343,58,1112,19,3,28,1,,North Hub,5,4,Unknown,Card,Unknown
344,,247,19,1,23,0,Morning,South Hub,,3,,,Unknown
345,37,1719,12,0,81,0,Afternoon,South Hub,5,8,No,Unknown,Unknown
346,28,628,3,2,62,2,Afternoon,,7,5,,UPI,Unknown
347,56,440,13,2,104,1,Afternoon,East Hub,2,2,No,UPI,Cancelled
348,15,1252,18,3,56,0,,North Hub,5,2,No,COD,Unknown
349,53,603,8,8,135,,??,South Hub,3,,No,Crypto?,Delivered
350,12,1521,-5,,61,1,??,Unknown,-1,10,Yes,Card,Delivered
351,40,1573,15,7,16,1,Late Night,West Hub,,1,Yes,UPI,Delivered
352,42,1088,1,6,65,1,??,Central Hub,3,,,Unknown,Delivered
353,44,1696,3,9,5,2,Evening,South Hub,7,2,No,Crypto?,Cancelled
354,24,1742,8,1,57,,,North Hub,4,2,Yes,Crypto?,Delivered
355,39,1362,4,8,68,1,Afternoon,South Hub,3,8,,Unknown,Cancelled
356,52,527,16,3,61,0,??,Central Hub,10,1,,Crypto?,Delivered
357,29,1304,10,4,81,0,,North Hub,4,,,UPI,Cancelled
358,39,972,12,,70,2,??,East Hub,1,8,,Unknown,Cancelled
359,29,469,14,6,130,0,Morning,North Hub,,10,,Unknown,Cancelled
360,33,206,14,,9,1,Afternoon,East Hub,1,8,Unknown,COD,Delivered
361,22,599,2,3,97,0,Morning,North Hub,5,,No,Card,Cancelled
362,50,1514,5,14,88,1,Afternoon,Unknown,7,-2,,COD,Unknown
